geneSymbol	HGNCID
TMEM142C	HGNC:28185
FLJ25359	HGNC:26340
OlfD	HGNC:17190
kalinin-140kDa	HGNC:6490
KIAA1467	HGNC:29288
hsa-mir-488	HGNC:32073
RN5S269	HGNC:43169
EIF3S6IPP2	HGNC:24657
CD328	HGNC:10876
LOC646174	HGNC:34455
EDS4A	HGNC:2201
Cdc14A2	HGNC:1718
HBII-52-29	HGNC:33048
MAPK6PS3	HGNC:18977
NCRNA00260	HGNC:28770
LOC129881	HGNC:25064
SMUBP2	HGNC:5542
MRT22	HGNC:30242
Xip1	HGNC:28724
RINN2	HGNC:28773
Gle2	HGNC:9828
FLJ30921	HGNC:26420
IL-23R	HGNC:19100
HPS7	HGNC:17328
MGC16973	HGNC:19340
LOC388789	HGNC:43430
FLJ40981	HGNC:20811
TCONS_00026184	HGNC:51306
MDC3	HGNC:202
HAVCR	HGNC:17866
OFDYP12	HGNC:23884
CALDAG-GEFI	HGNC:9879
C1orf10	HGNC:1230
MGC138323	HGNC:12782
Kir3.1	HGNC:6264
ESSS	HGNC:20372
RNF188	HGNC:21225
CRALBP	HGNC:10024
CCT1	HGNC:11655
FLJ20053	HGNC:29135
SDR28C1	HGNC:5210
MGC35575	HGNC:582
KGFLP2	HGNC:26671
dJ687F11.3	HGNC:16581
STX3A	HGNC:11438
BSP1	HGNC:33906
SRPX1	HGNC:11309
HOVO3	HGNC:14186
OR7A14P	HGNC:8366
hsa-mir-1322	HGNC:35374
ADRA1C	HGNC:277
trnF	HGNC:7481
KIAA1611	HGNC:12948
OFDYP11	HGNC:23883
MGC34328	HGNC:24355
DKFZp686L09111	HGNC:26678
ZFP38-L	HGNC:13851
BLBP	HGNC:3562
NPAL1	HGNC:27194
MGC11034	HGNC:23726
ATPVA	HGNC:13542
FRG	HGNC:16460
CHR3SYT	HGNC:24295
PARP-5b	HGNC:15677
FLJ16046	HGNC:29994
TRM7	HGNC:13254
VNUT	HGNC:16192
H1FX	HGNC:4722
NCRNA00093	HGNC:20431
PLK5P	HGNC:27001
PMS2L4	HGNC:9129
HCELL	HGNC:1681
FLJ39207	HGNC:24008
bPG70P20.2	HGNC:28694
MIRN542	HGNC:32534
Nav1.2	HGNC:10588
DKFZP727G051	HGNC:24566
CSHP1	HGNC:2442
DKFZp434N0735	HGNC:16935
RN5S324	HGNC:43224
NCRNA00324	HGNC:26628
dJ248E1.1	HGNC:21063
TRNAD19	HGNC:35000
OR5AT1	HGNC:15022
ADAM31	HGNC:200
MGC71751	HGNC:10995
SVAS	HGNC:3327
RGAG3	HGNC:14005
HCA127	HGNC:24931
FLJ37478	HGNC:26742
hsa-mir-92-1	HGNC:31643
SNAT	HGNC:19
hsa-mir-6792	HGNC:50054
tau-40	HGNC:6893
RNU102	HGNC:10099
CDC4	HGNC:16712
RN5S95	HGNC:42893
PC4	HGNC:19985
MRPS32	HGNC:14493
LLGL4	HGNC:30757
U1P14	HGNC:10133
LOC100505495	HGNC:49593
OR5B6	HGNC:8322
PRKM8IPP	HGNC:6885
F7175	HGNC:13174
FLJ22851	HGNC:26929
U7.71	HGNC:34167
MO15	HGNC:1778
MIRN1288	HGNC:35363
XLS	HGNC:27849
KRTAP5P1	HGNC:23607
MEKK3	HGNC:6855
RN5S496	HGNC:43396
hsa-mir-1255b-2	HGNC:35367
AHC	HGNC:7960
Urn1	HGNC:15630
PAR4	HGNC:29998
TTMP	HGNC:26255
KIAA0456	HGNC:19751
phakinin	HGNC:1041
HPE4	HGNC:11776
C8orf55	HGNC:29656
C9orf111	HGNC:24768
TB-5	HGNC:29551
KIAA0188	HGNC:13345
RN5S238	HGNC:43138
FLJ31606	HGNC:26463
NCRNA00328A	HGNC:42028
NMOR1	HGNC:2874
WI2-81516E3.1	HGNC:50501
FHR-4	HGNC:16979
ACY2	HGNC:756
DKFZp686E0316	HGNC:24704
hsa-mir-195	HGNC:31566
VLA1	HGNC:6134
K10	HGNC:6413
p97MAPK	HGNC:6879
ZC2HC2	HGNC:26021
CHGC	HGNC:10575
tRNA-Met-CAT-4-2	HGNC:34922
LOC100506054	HGNC:49289
IL-31RA	HGNC:18969
H4FN	HGNC:4794
INTS4L2	HGNC:22351
MGC35062	HGNC:30524
SPANX-N2	HGNC:33175
bA203J24.5	HGNC:28711
tRNA-Asp-GTC-9-1	HGNC:12251
C16orf41	HGNC:18435
MOST-1	HGNC:17737
CT16.5	HGNC:31805
CGI-134	HGNC:16633
DUSPP	HGNC:3075
C20orf101	HGNC:15833
OR15-82	HGNC:8312
NDUFV3-AS1	HGNC:17216
MGC3035	HGNC:28450
GRPP	HGNC:4191
IQ-ArfGEF	HGNC:29059
hsa-mir-876	HGNC:33653
bA255A11.1	HGNC:19384
WW45	HGNC:17795
TRNAR10	HGNC:34660
SALP	HGNC:18117
hs6M1-10	HGNC:13966
PARK13	HGNC:14348
I-Rel	HGNC:9954
MGLUR2	HGNC:4594
GLURR2	HGNC:15712
VPS16B	HGNC:20347
KIAA1794	HGNC:25568
hsRPB5	HGNC:9192
ORP3	HGNC:16370
RNF201	HGNC:25539
RA410	HGNC:20726
hsa-mir-8059	HGNC:50068
PA1	HGNC:28707
GADD45AL	HGNC:2725
RPS5L	HGNC:10427
hsa-mir-7705	HGNC:50143
PCLD	HGNC:9411
PSMD7L	HGNC:7202
ZC3HDC7	HGNC:30959
GNNP	HGNC:49210
ATP5A1P6	HGNC:827
RHOGDI-3	HGNC:680
IRGC1	HGNC:28835
VSHK1	HGNC:1611
GlyBP	HGNC:24866
LGLL338	HGNC:33872
FLJ34791	HGNC:23706
G3a	HGNC:13916
BLAST	HGNC:1683
TRM11	HGNC:21080
PCOLN3	HGNC:8740
FLJ12286	HGNC:28762
FLJ33957	HGNC:23844
ZNF75B	HGNC:13147
FAM23A	HGNC:23473
USP17L6	HGNC:37179
Nnp1	HGNC:23818
GATD10	HGNC:4248
PPPDE2	HGNC:24577
AEGL1	HGNC:304
RTL2	HGNC:14005
gfg	HGNC:8053
FLJ23560	HGNC:26291
PATZ2	HGNC:21143
ARVD2	HGNC:10484
LY64	HGNC:6726
HHC2	HGNC:4379
KIAA1644	HGNC:29335
OR10AD1P	HGNC:14819
PKBG	HGNC:393
FETA	HGNC:317
MiRP1	HGNC:6242
ND3	HGNC:7458
FLJ44005	HGNC:34521
ZNF115	HGNC:23707
LOC389641	HGNC:52647
LAT3	HGNC:11064
ENX2	HGNC:543
IIIG9	HGNC:28869
WAP1	HGNC:20477
COX3	HGNC:7422
JBTS18	HGNC:24519
